"","Module","KO","Sub_MO","Class"
"137",M00145,K05574;K05582;K05581;K05579;K05572;K05580;K05578;K05576;K05577;K05575;K05573;K05583;K05584;K05585,NA,Pathway modules; Energy metabolism; ATP synthesis
"138",M00146,K03945;K03946;K03947;K03948;K03949;K03950;K03951;K03952;K03953;K03954;K03955;K03956;K11352;K11353,NA,Pathway modules; Energy metabolism; ATP synthesis
"139",M00147,K03957;K03958;K03959;K03960;K03961;K03962;K03963;K03964;K03965;K03966;K11351;K03967;K03968,NA,Pathway modules; Energy metabolism; ATP synthesis
"140",M00148,K00236;K00237;K25801;K00234;K00235,NA,Pathway modules; Energy metabolism; ATP synthesis
"141",M00149,K00241;K00242;K18859;K18860;K00239;K00240,NA,Pathway modules; Energy metabolism; ATP synthesis
"142",M00150,K00244;K00245;K00246;K00247,NA,Pathway modules; Energy metabolism; ATP synthesis
"143",M00151,K00410;K00411;K00412;K00413;K03886;K03887;K03888;K03890;K03891;K03889,NA,Pathway modules; Energy metabolism; ATP synthesis
"144",M00152,K00411;K00412;K00413;K00414;K00415;K00416;K00417;K00418;K00419;K00420,NA,Pathway modules; Energy metabolism; ATP synthesis
"145",M00153,K00425;K00426;K00424;K22501,NA,Pathway modules; Energy metabolism; ATP synthesis
"146",M00154,K02257;K02262;K02256;K02261;K02263;K02264;K02265;K02266;K02267;K02268;K02270;K02271;K02272;K02273;K02258;K02259;K02260,NA,Pathway modules; Energy metabolism; ATP synthesis
"147",M00155,K02275;K02274;K02276;K15408;K02277;K27109,NA,Pathway modules; Energy metabolism; ATP synthesis
"148",M00156,K00404;K00405;K00407;K00406;K15862,NA,Pathway modules; Energy metabolism; ATP synthesis
"149",M00157,K02111;K02112;K02113;K02114;K02115;K02108;K02109;K02110,NA,Pathway modules; Energy metabolism; ATP synthesis
"150",M00158,K02132;K02133;K02136;K02134;K02135;K02137;K02126;K02127;K02128;K02138;K02129;K01549;K02130;K02139;K02140;K02141;K02131;K02142;K02143;K02125,NA,Pathway modules; Energy metabolism; ATP synthesis
"151",M00159,K02117;K02118;K02119;K02120;K02121;K02122;K02107;K02123;K02124,NA,Pathway modules; Energy metabolism; ATP synthesis
"152",M00160,K02145;K02147;K02148;K02149;K02150;K02151;K02152;K02144;K02154;K03661;K02155;K02146;K02153;K03662,NA,Pathway modules; Energy metabolism; ATP synthesis
"153",M00161,K02703;K02706;K02705;K02704;K02707;K02708,NA,Pathway modules; Energy metabolism; Photosynthesis
"154",M00162,K02635;K02637;K02634;K02636;K02642;K02643;K03689;K02640,NA,Pathway modules; Energy metabolism; ATP synthesis
